"Order","Title","StatusId","Path","Icon","UserAccessRoles1"
1,"Home","2","/UserProfile","home","5fc020d1-4729-4bda-a2ae-1d4b3ca56c20"
2,"User List","2","/userlist","person","20d5ceb9-36bb-4607-a98b-3dc8db9d4910"
3,"User Roles","2","/AppUserRoleMasterList","groups","20d5ceb9-36bb-4607-a98b-3dc8db9d4910"
4,"Table","2","/AppTableMasterList","view_column","20d5ceb9-36bb-4607-a98b-3dc8db9d4910"
5,"Config List","2","/AppConfigTypeList","dns","20d5ceb9-36bb-4607-a98b-3dc8db9d4910"
6,"Navigation List","2","/Navigationlist","bookmark","20d5ceb9-36bb-4607-a98b-3dc8db9d4910"
7,"Admin Page","2","/AppAdminPage","settings_suggest","20d5ceb9-36bb-4607-a98b-3dc8db9d4910"
10,"Test","1","/TestOneList","info","20d5ceb9-36bb-4607-a98b-3dc8db9d4910"
